,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
16,16,16,16,16,16,201614224,11 00 55.789,+02 15 48.81,1,18.186,,,,,1992-301-3-0102-0124,EXTENDED,gri,-23,5,-72,5,,,,,,,20.112,0.056,18.959,0.011,18.251,0.009,17.855,0.01,17.642,0.03,,,,,,,,,,,,,,
17,17,17,17,17,17,201614244,11 01 16.483,+02 15 49.77,1,12.924,,,462-047204,11011648+0215496,,STAR,gri,-6.9,1.6,0.5,1.6,,,13.809,0.02,13.074,0.01,,,13.385,0.01,12.887,0.01,12.727,0.01,,,11.747,0.024,11.422,0.022,11.337,0.019,5739,4.361,-0.1,1.078,1.009,0.791,443.5,0.033
18,18,18,18,18,18,201614288,11 00 10.756,+02 15 51.88,1,13.266,,,462-047187,11001077+0215520,,STAR,gri,-20.6,1.6,-8.2,1.7,,,14.484,0.02,13.531,0.01,,,14.007,0.01,13.241,0.04,12.948,0.02,,,11.821,0.026,11.336,0.023,11.268,0.023,4990,4.6,-0.141,0.747,0.819,1.908,266.7,0.031
19,19,19,19,19,19,201614307,11 06 31.994,+02 15 52.66,1,17.797,,,,11063199+0215526,1992-301-3-0112-0200,EXTENDED,gri,-37,4,9,4,,,,,,,20.836,0.141,19.087,0.016,17.804,0.009,17.244,0.008,16.861,0.021,16.252,0.147,15.433,0.135,14.96,0.161,,,,,,,,
20,20,20,20,20,20,201614318,11 02 03.832,+02 15 53.42,1,18.458,,,,11020383+0215534,1992-301-3-0104-0162,EXTENDED,gri,-3,3,11,3,,,,,,,20.716,0.088,19.503,0.016,18.509,0.011,18.01,0.011,17.605,0.027,16.793,0.179,16.086,0.199,14.86,0.142,,,,,,,,
21,21,21,21,21,21,201614334,10 59 37.654,+02 15 53.86,1,17.855,,,,10593765+0215538,1992-301-3-0100-0183,EXTENDED,gri,29,5,16,5,,,,,,,21.334,0.209,19.114,0.016,17.834,0.009,17.316,0.009,16.915,0.022,16.461,0.142,15.495,0.122,14.87,0.154,,,,,,,,
22,22,22,22,22,22,201614400,10 59 55.695,+02 15 57.36,1,17.161,,,,10595569+0215573,1992-301-3-0101-0004,STAR,gri,1,3,-2,3,,,,,,,19.004,0.02,17.778,0.005,17.166,0.005,16.896,0.005,16.726,0.01,15.696,0.098,15.298,0.112,15.172,0.213,5103,2.25,-1.848,10.756,0.807,5.23E-04,22340,0.033
23,23,23,23,23,23,201614427,11 05 14.529,+02 15 58.70,1,17.237,,,,11051452+0215586,1992-301-3-0110-0143,STAR,gri,-74,3,-33,3,,,,,,,21.955,0.155,19.17,0.01,17.724,0.006,16.408,0.005,15.686,0.006,14.319,0.041,13.775,0.037,13.493,0.037,3530,5.066,-0.099,0.221,0.213,18.32,151,0.024
24,24,24,24,24,24,201614555,11 06 52.956,+02 16 05.87,1,12.125,,,462-047360,11065295+0216059,,STAR,gri,-13.7,1.3,6.9,1.5,,,13.091,0.06,12.338,0.07,,,12.65,0.04,12.138,0.08,11.9,0.06,,,10.947,0.022,10.556,0.024,10.485,0.019,5450,3.753,-0.336,1.67,0.93,0.087,517.1,0.031
25,25,25,25,25,25,201614561,11 06 48.264,+02 16 06.30,1,16.281,,,462-047358,11064825+0216065,1992-301-3-0112-0074,STAR,gri,0.8,3,-14.8,3.5,,,16.642,0.26,16.24,0.11,,,16.367,0.3,16.252,0.15,16.39,0.15,,,15.438,0.062,15.455,0.123,,,,,,,,,,
26,26,26,26,26,26,201614640,11 03 27.092,+02 16 11.25,1,15.278,,,462-047264,11032709+0216111,1992-301-3-0107-0045,STAR,gri,-0.7,2.4,-3.4,2.9,,,16.715,0.05,15.579,0.05,,,16.11,0.06,15.23,0.02,14.922,0.06,,,13.597,0.026,12.94,0.023,12.875,0.03,4628,4.652,-0.345,0.654,0.712,2.435,468.9,0.029
27,27,27,27,27,27,201614700,11 03 42.289,+02 16 13.93,1,14.31,,,462-047270,11034228+0216138,1992-301-3-0107-0056,STAR,gri,-11.5,4.4,-18.8,2.8,,,15.324,0.05,14.507,0.01,,,14.913,0.03,14.261,0.03,14.051,0.06,,,13.035,0.032,12.64,0.031,12.509,0.034,5311,4.551,-0.218,0.8,0.841,1.605,538.4,0.032
28,28,28,28,28,28,201614905,10 59 58.115,+02 16 25.60,1,16.917,,,,10595811+0216255,1992-301-3-0101-0121,EXTENDED,gri,-6,3,4,3,,,,,,,19.217,0.05,17.794,0.008,17.004,0.006,16.541,0.006,16.219,0.018,16.113,0.14,15.126,0.117,14.64,0.157,,,,,,,,
29,29,29,29,29,29,201614931,11 07 03.673,+02 16 27.00,1,18.516,,,,11070367+0216270,1992-301-3-0113-0197,STAR,gri,-38,4,-74,4,,,,,,,23.238,0.431,20.672,0.027,19.223,0.013,17.592,0.007,16.639,0.01,15.098,0.05,14.64,0.058,14.412,0.091,3505,5.076,-0.11,0.214,0.203,19.89,209.4,0.025
30,30,30,30,30,30,201614954,11 06 10.673,+02 16 28.68,1,15.153,,,462-047343,11061067+0216288,1992-301-3-0111-0257,STAR,gri,35.5,2.5,-32.7,2.9,,,17.341,0.08,15.875,0.06,,,16.708,0.09,15.297,0.03,14.487,0.08,,,12.924,0.026,12.221,0.027,12.04,0.026,3863,4.875,0.001,0.401,0.449,6.715,164.9,0.028
31,31,31,31,31,31,201614996,11 05 01.188,+02 16 31.11,1,11.651,,,462-047316,11050117+0216311,,STAR,gri,-18.5,0.9,-4.4,1.2,,,12.732,0.01,11.886,0.02,,,12.28,0.04,11.659,0.04,11.381,0.06,,,10.367,0.023,9.884,0.022,9.81,0.021,5104,2.848,-0.815,5.282,0.905,0.005,987.6,0.033
32,32,32,32,32,32,201615199,11 04 06.954,+02 16 43.16,1,13.902,,,462-047282,11040695+0216431,1992-301-3-0108-0048,STAR,gri,-29.2,11.7,-7.4,15.3,,,14.803,0.05,14.011,0.02,,,14.398,0.05,13.844,0.02,13.689,0.08,,,13.098,0.054,12.656,0.062,12.595,0.051,5523,4.498,-0.318,0.863,0.86,1.308,613,0.033
33,33,33,33,33,33,201615238,11 03 34.312,+02 16 45.27,1,17.506,,,,11033431+0216452,1992-301-3-0107-0111,EXTENDED,gri,1,3,5,3,,,,,,,19.756,0.044,18.352,0.008,17.573,0.006,17.143,0.006,16.8,0.016,16.235,0.127,15.174,0.106,14.746,0.132,,,,,,,,
34,34,34,34,34,34,201615292,11 03 41.020,+02 16 47.95,1,16.875,,,462-047269,11034102+0216479,1992-301-3-0107-0051,STAR,JHK,39.1,4.5,-20.8,3.5,,,,,,,,,,,,,,,,,15.429,0.059,15.278,0.09,14.85,0.137,5577,4.654,-1.565,0.597,0.652,2.318,1258,0.031
35,35,35,35,35,35,201615337,11 06 36.599,+02 16 50.45,1,16.575,,,,11063659+0216504,1992-301-3-0112-0141,EXTENDED,gri,-2,3,7,3,,,,,,,19.279,0.047,17.481,0.006,16.606,0.005,16.186,0.005,15.885,0.012,15.845,0.117,15.342,0.155,14.542,0.117,,,,,,,,
36,36,36,36,36,36,201615579,11 07 07.180,+02 17 03.52,1,12.872,,,462-047368,11070717+0217034,,STAR,gri,-19,2.1,8.5,3.2,,,13.375,0.07,12.91,0.1,,,13.059,0.03,12.809,0.11,12.656,0.05,,,11.889,0.022,11.648,0.022,11.625,0.027,6192,4.223,-0.282,1.303,1.066,0.458,627.7,0.031
37,37,37,37,37,37,201615751,11 04 25.133,+02 17 12.79,1,17.202,,,,11042513+0217127,1992-301-3-0108-0207,EXTENDED,gri,1,3,1,3,,,,,,,20.279,0.081,18.197,0.008,17.223,0.006,16.776,0.006,16.429,0.015,15.878,0.101,15.169,0.115,14.621,0.129,,,,,,,,
38,38,38,38,38,38,201616028,11 03 33.642,+02 17 28.92,1,14.184,,,462-047268,11033363+0217289,1992-301-3-0107-0049,STAR,gri,-18.9,2,-14,2.3,,,15.337,0.02,14.437,0.01,,,14.864,0.04,14.167,0.02,13.893,0.13,,,12.711,0.024,12.213,0.025,12.176,0.023,5105,4.595,-0.241,0.741,0.784,1.913,405.1,0.029
39,39,39,39,39,39,201616270,11 05 15.001,+02 17 43.17,1,17.384,,,,11051500+0217431,1992-301-3-0110-0144,EXTENDED,gri,3,3,2,3,,,,,,,19.5,0.05,18.141,0.008,17.467,0.007,17.06,0.007,16.744,0.021,16.463,0.165,15.62,0.143,,,,,,,,,,
40,40,40,40,40,40,201616342,11 07 16.905,+02 17 47.53,1,11.868,,,462-047372,11071689+0217475,,STAR,gri,-17.2,1.6,-1.4,0.9,,,12.393,0.08,11.894,0.1,,,12.064,0.03,11.803,0.12,11.641,0.05,,,10.923,0.021,10.723,0.022,10.698,0.025,6441,4.173,-0.089,1.491,1.257,0.374,457.2,0.031
41,41,41,41,41,41,201616398,11 04 04.278,+02 17 50.08,1,11.144,,262-237-1,462-047278,11040427+0217502,,STAR,gri,-36.3,1.8,2.3,1.8,,,12.2,0.239,10.975,0.086,,,11.84,0.03,11.12,0.03,10.846,0.07,,,9.788,0.026,9.334,0.023,9.232,0.024,5063,3.521,-0.385,2.827,0.984,0.04,405.6,0.03
42,42,42,42,42,42,201616511,11 05 56.438,+02 17 56.65,1,19.172,,,,11055643+0217566,1992-301-3-0111-0281,STAR,gri,4,5,-55,5,,,,,,,23.014,0.364,21.032,0.034,19.641,0.016,18.375,0.01,17.697,0.018,16.335,0.121,15.893,0.174,15.178,0.192,3257,5.127,0.115,0.175,0.151,27.71,266.1,0.026
43,43,43,43,43,43,201616906,10 59 24.023,+02 18 19.45,1,11.278,,,462-047172,10592402+0218195,,STAR,gri,-2.2,1.1,-7.1,1.2,,,12.934,0.01,11.661,0.01,,,12.279,0.01,11.249,0.01,10.85,0.01,,,9.409,0.024,8.762,0.031,8.567,0.023,4381,1.495,-0.615,26.553,0.935,4.82E-05,2367,0.035
44,44,44,44,44,44,201617017,11 00 00.432,+02 18 24.95,1,17.373,,,,11000043+0218249,1992-301-3-0101-0130,STAR,gri,4,3,-67,3,,,,,,,21.419,0.101,19.076,0.01,17.686,0.006,16.643,0.005,16.022,0.007,14.677,0.047,14.213,0.052,14.154,0.076,3450,5.057,0.05,0.222,0.211,18.27,173,0.023
45,45,45,45,45,45,201617450,11 04 18.380,+02 18 47.95,1,16.445,,,,11041837+0218479,,EXTENDED,J,,,,,,,,,,,,,,,,,,,,,15.023,0.125,14.088,0.152,13.504,0.109,,,,,,,,
46,46,46,46,46,46,201617451,11 02 13.460,+02 18 48.03,1,18.101,,,,11021345+0218480,1992-301-3-0105-0157,STAR,gri,-10,3,1,3,,,,,,,22.088,0.177,19.273,0.011,18.083,0.007,17.599,0.007,17.317,0.014,16.32,0.115,15.691,0.147,,,,,,,,,,
47,47,47,47,47,47,201617575,11 03 59.123,+02 18 54.54,1,18.011,,,,11035912+0218545,1992-301-3-0108-0131,STAR,gri,-26,3,7,3,,,,,,,22.165,0.176,19.202,0.01,17.992,0.007,17.5,0.006,17.17,0.013,16.093,0.087,15.415,0.113,14.923,0.13,4119,4.913,-0.603,0.345,0.393,8.367,674.6,0.032
48,48,48,48,48,48,201617607,11 01 44.722,+02 18 56.33,1,13.041,,,462-047219,11014472+0218563,,STAR,gri,-77.9,1.5,21.2,2.4,,,14.172,0.03,13.259,0.02,,,13.692,0.02,12.975,0.03,12.762,0.02,,,11.529,0.026,11.107,0.022,11.018,0.021,5182,4.592,-0.423,0.706,0.739,1.986,226.4,0.036
49,49,49,49,49,49,201617615,11 07 39.977,+02 18 56.68,1,16.598,,,,11073997+0218566,1992-301-3-0114-0169,EXTENDED,gri,-1,3,6,3,,,,,,,19.222,0.029,17.439,0.005,16.606,0.004,16.237,0.004,15.961,0.008,15.084,0.065,14.395,0.086,14.193,0.081,,,,,,,,
50,50,50,50,50,50,201617646,10 59 39.427,+02 18 58.82,1,13.07,,,462-047176,10593943+0218590,,STAR,gri,-24.6,1.5,-14.8,1.8,,,14.168,0.04,13.298,0.02,,,13.701,0.01,13.041,0.01,12.799,0.06,,,11.684,0.024,11.183,0.024,11.097,0.022,5158,3.719,-0.438,2.257,0.884,0.079,803.3,0.032
51,51,51,51,51,51,201617730,11 06 23.679,+02 19 03.13,1,17.033,,,,11062367+0219031,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.569,0.094,14.954,0.134,14.214,0.108,3618,5.01,-0.125,0.257,0.255,13.21,344,0.03
52,52,52,52,52,52,201617736,11 04 59.263,+02 19 03.47,1,16.72,,,,11045926+0219034,1992-301-3-0109-0234,EXTENDED,gri,3,3,-1,3,,,,,,,19.789,0.066,17.741,0.007,16.718,0.005,16.283,0.005,15.89,0.012,15.538,0.083,14.967,0.125,14.262,0.094,,,,,,,,
53,53,53,53,53,53,201617792,10 59 46.647,+02 19 06.06,1,17.886,,,,10594664+0219060,1992-301-3-0101-0095,EXTENDED,gri,5,3,7,3,,,,,,,20.644,0.086,18.923,0.011,17.891,0.007,17.441,0.007,17.063,0.019,16.334,0.17,,,14.981,0.175,,,,,,,,
54,54,54,54,54,54,201617830,11 04 58.430,+02 19 08.31,1,16.383,,,,11045842+0219083,1992-301-3-0109-0232,EXTENDED,gri,-5,3,0,3,,,,,,,19.373,0.046,17.401,0.006,16.377,0.004,15.947,0.004,15.539,0.009,15.295,0.081,14.515,0.09,14.231,0.119,,,,,,,,
55,55,55,55,55,55,201617842,11 04 20.592,+02 19 08.71,1,16.994,,,,,1992-301-3-0108-0181,EXTENDED,gri,4,3,11,3,,,,,,,18.034,0.022,17.132,0.006,16.948,0.007,16.784,0.008,16.706,0.029,,,,,,,,,,,,,,
56,56,56,56,56,56,201617854,11 05 51.230,+02 19 09.45,1,17.655,,,,11055123+0219094,1992-301-3-0111-0208,STAR,gri,-89,3,-29,3,,,,,,,21.687,0.125,19.012,0.009,17.655,0.006,17.074,0.006,16.76,0.01,15.463,0.061,14.904,0.072,14.985,0.151,3882,5.002,-0.515,0.281,0.296,12.69,334.4,0.036
57,57,57,57,57,57,201618033,11 04 50.792,+02 19 20.18,1,16.049,,,,11045079+0219201,1992-301-3-0109-0188,EXTENDED,gri,-4,3,-1,3,,,,,,,19.101,0.042,17.07,0.005,16.05,0.004,15.611,0.004,15.225,0.008,15.006,0.073,14.345,0.107,13.837,0.085,,,,,,,,
58,58,58,58,58,58,201618110,11 00 23.384,+02 19 24.67,1,12.017,,262-168-1,462-047193,11002337+0219246,,STAR,gri,-57.7,2.8,-16.1,2.8,,,12.43,0.296,11.833,0.231,,,12.584,0.03,11.94,0.01,11.773,0.01,,,10.666,0.022,10.264,0.022,10.213,0.023,5353,4.54,-0.096,0.823,0.89,1.52,187.5,0.027
59,59,59,59,59,59,201618301,11 04 49.691,+02 19 34.32,1,17.358,,,,11044969+0219343,1992-301-3-0109-0189,EXTENDED,gri,1,3,9,3,,,,,,,20.231,0.093,18.353,0.01,17.375,0.007,16.931,0.007,16.594,0.019,16.285,0.138,15.616,0.166,15.032,0.161,,,,,,,,
60,60,60,60,60,60,201618364,11 05 18.709,+02 19 37.74,1,19.325,,,,,1992-301-3-0110-0155,STAR,gri,,,,,,,,,,,21.782,0.134,19.982,0.017,19.345,0.014,19.043,0.015,18.903,0.047,,,,,,,,,,,,,,
61,61,61,61,61,61,201618482,11 05 31.357,+02 19 44.04,1,15.853,,,462-047324,11053134+0219440,1992-301-3-0110-0029,STAR,JHK,-22.7,2.4,-9.3,2.9,,,,,16.126,0.03,,,,,,,,,,,14.105,0.033,13.458,0.024,13.401,0.043,4342,4.738,-0.19,0.544,0.604,3.517,459.9,0.032
62,62,62,62,62,62,201618547,11 05 12.584,+02 19 48.04,1,14.301,,,462-047321,11051257+0219480,1992-301-3-0110-0012,STAR,gri,-40.8,2.1,-65.4,4,,,16.041,0.07,14.756,0.02,,,15.487,0.03,14.259,0.01,13.793,0.13,,,12.437,0.027,11.766,0.026,11.614,0.026,4104,4.803,-0.15,0.474,0.531,4.871,168,0.025
63,63,63,63,63,63,201618833,11 01 37.273,+02 20 03.40,1,17.228,,,,11013727+0220034,1992-301-3-0104-0127,STAR,gri,5,3,1,3,,,,,,,21.125,0.083,18.415,0.007,17.239,0.005,16.72,0.005,16.424,0.009,15.318,0.048,14.512,0.055,14.33,0.075,4166,4.761,0.007,0.527,0.594,3.919,714.8,0.029
64,64,64,64,64,64,201618896,11 07 50.235,+02 20 07.38,1,14.718,,,462-047386,11075023+0220074,1992-301-3-0114-0050,STAR,gri,-5.8,2.6,-27.6,3,,,15.971,0.12,14.999,0.11,,,15.456,0.03,14.674,0.11,14.402,0.08,,,13.229,0.024,12.742,0.023,12.686,0.023,5011,4.599,-0.171,0.72,0.775,2.02,493.6,0.031
65,65,65,65,65,65,201619002,11 00 55.953,+02 20 13.33,1,11.016,,262-108-1,462-047201,11005595+0220133,,STAR,gri,-59.7,1.6,-30.6,1.5,,,11.915,0.188,11.116,0.118,,,11.46,0.01,10.979,0.01,10.826,0.01,,,9.922,0.024,9.58,0.022,9.484,0.02,5735,4.431,-0.262,0.988,0.926,0.993,170.3,0.028
66,66,66,66,66,66,201619089,11 04 51.937,+02 20 18.00,1,17.286,,,,11045193+0220179,1992-301-3-0109-0214,EXTENDED,gri,-3,3,7,3,,,,,,,20.331,0.065,18.315,0.008,17.308,0.005,16.845,0.005,16.465,0.012,15.641,0.087,15.1,0.119,14.487,0.107,,,,,,,,
67,67,67,67,67,67,201619157,11 02 42.048,+02 20 21.83,1,15.044,,,462-047246,11024205+0220217,1992-301-3-0105-0256,STAR,JHK,-45.2,2.8,-13.5,2.9,,,,,,,,,,,,,,,,,12.97,0.024,12.403,0.022,12.165,0.024,3640,4.976,0.024,0.306,0.329,10.84,117.3,0.02
68,68,68,68,68,68,201619282,10 59 41.678,+02 20 29.39,1,12.316,,,462-047177,10594168+0220295,,STAR,gri,-39.8,1.1,-18.3,1.2,,,13.104,0.02,12.431,0.01,,,12.706,0.03,12.258,0.01,12.149,0.01,,,11.247,0.022,10.912,0.025,10.858,0.023,5876,4.415,-0.32,1.01,0.934,0.924,324.3,0.027
69,69,69,69,69,69,201619490,11 07 13.024,+02 20 42.69,1,17.705,,,,11071302+0220426,1992-301-3-0113-0155,EXTENDED,gri,3,3,4,3,,,,,,,20.553,0.095,18.672,0.011,17.704,0.007,17.29,0.008,16.944,0.02,16.296,0.129,15.61,0.14,15.238,0.182,,,,,,,,
70,70,70,70,70,70,201619558,11 04 21.739,+02 20 45.88,1,12.297,,262-153-1,462-047292,11042172+0220459,,STAR,gri,,,,,,,13.126,0.408,11.74,0.176,,,12.664,0.03,12.267,0.02,12.14,0.07,,,11.309,0.023,11.026,0.025,10.909,0.019,6060,4.227,-0.2,1.262,1.036,0.473,446,0.033
71,71,71,71,71,71,201619644,11 03 50.630,+02 20 50.54,1,13.242,,,462-047273,11035063+0220504,,STAR,gri,40.4,2.6,-20.9,1.7,,,14.358,0.01,13.497,0.02,,,13.91,0.04,13.231,0.05,12.956,0.02,,,11.803,0.023,11.322,0.022,11.247,0.019,5051,4.597,-0.27,0.731,0.791,1.947,267.4,0.032
72,72,72,72,72,72,201619649,10 59 01.309,+02 20 50.81,1,12.511,,,462-047161,10590129+0220509,,STAR,gri,-19,1.3,-6.3,1.6,,,13.513,0.01,12.681,0.01,,,13.04,0.02,12.448,0.01,12.284,0.06,,,11.259,0.022,10.895,0.023,10.816,0.023,5501,4.476,-0.089,0.941,0.976,1.17,294.8,0.028
73,73,73,73,73,73,201619719,11 02 39.445,+02 20 54.27,1,16.858,,,462-047242,11023942+0220542,1992-301-3-0105-0239,STAR,JHK,-3.6,3.4,-4.4,3.6,,,,,,,,,,,,,,,,,15.028,0.045,14.576,0.077,14.297,0.071,4964,4.613,-0.326,0.669,0.712,2.094,1016,0.032
74,74,74,74,74,74,201619780,11 02 49.598,+02 20 57.89,1,16.65,,,,11024959+0220578,1992-301-3-0106-0063,STAR,gri,-18,3,-95,3,,,,,,,20.928,0.067,18.219,0.006,16.799,0.005,15.978,0.004,15.505,0.006,14.217,0.024,13.698,0.031,13.466,0.037,3631,5.031,-0.184,0.249,0.252,15.53,176.2,0.023
75,75,75,75,75,75,201619823,11 04 14.882,+02 21 00.51,1,18.193,,,,,1992-301-3-0108-0175,EXTENDED,gri,-3,3,-1,3,,,,,,,20.555,0.079,18.996,0.012,18.241,0.01,17.849,0.01,17.599,0.029,,,,,,,,,,,,,,
76,76,76,76,76,76,201620040,11 03 56.045,+02 21 11.52,1,16.687,,,,11035604+0221115,1992-301-3-0108-0124,EXTENDED,gri,-2,3,4,3,,,,,,,19.479,0.044,17.6,0.006,16.702,0.005,16.295,0.005,15.974,0.011,15.51,0.082,14.877,0.088,14.589,0.117,,,,,,,,
77,77,77,77,77,77,201620074,11 04 57.201,+02 21 13.99,1,18.601,,,,,1992-301-3-0109-0222,EXTENDED,gri,1,3,-3,3,,,,,,,21.082,0.104,19.393,0.014,18.574,0.011,18.262,0.011,17.919,0.032,,,,,,,,,,,,,,
78,78,78,78,78,78,201620086,10 59 43.026,+02 21 15.08,1,18.179,,,,10594302+0221150,1462-301-4-0264-0135,EXTENDED,gri,-8,3,17,3,,,,,,,21.356,0.199,19.26,0.015,18.146,0.009,17.716,0.009,17.436,0.026,16.472,0.177,15.909,0.2,,,,,,,,,,
